Year,MotherID,East,GroupSize,RelFemAlong,FIDAdFem,Observer,TestNumber,DifferenceDays,DataFile,YoungID,AvFIDJuv,Sex,AvPYMov,AgeCapture,JuvSurv
2019,1058,7769,1,0,3,Weliton,7,1,AdFemFID,0,NA,0,NA,0,NA
2017,1064,7935,1,LPY,1,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1064,8010,1,0,11,Weliton,2,48,AdFemFID,0,NA,0,NA,0,NA
2017,1067,8235,3,LPY,7,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1067,8294,1,0,7,Weliton,2,36,AdFemFID,0,NA,0,NA,0,NA
2018,1067,8250,1,0,6,Weliton,3,310,AdFemFID,0,NA,0,NA,0,NA
2018,1067,8278,1,0,8,Weliton,4,28,AdFemFID,0,NA,0,NA,0,NA
2018,1067,8241,2,0,5,Weliton,5,2,AdFemFID,0,NA,0,NA,0,NA
2019,1067,8311,7,0,10,Carolina,6,176,AdFemFID,0,NA,0,NA,0,NA
2019,1067,8246,3,0,7,Weliton,7,1,AdFemFID,0,NA,0,NA,0,NA
2017,1070,8038,1,0,13,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1070,7954,2,SA,13,Weliton,2,1,AdFemFID,0,NA,0,NA,0,NA
2017,1070,8221,1,0,13,Weliton,3,1,AdFemFID,0,NA,0,NA,0,NA
2018,1070,7781,1,0,13,Weliton,4,91,AdFemFID,0,NA,0,NA,0,NA
2018,1070,7591,2,0,10,Weliton,5,167,AdFemFID,0,NA,0,NA,0,NA
2018,1070,8241,1,0,9,Weliton,6,32,AdFemFID,0,NA,0,NA,0,NA
2019,1070,7845,3,0,13,Carolina,7,153,AdFemFID,0,NA,0,NA,0,NA
2019,1070,7928,2,0,12,Carolina,8,24,AdFemFID,0,NA,0,NA,0,NA
2019,1071,8181,2,0,5,Weliton,5,159,AdFemFID,0,NA,0,NA,0,NA
2019,1071,8130,2,0,10,Weliton,6,21,AdFemFID,0,NA,0,NA,0,NA
2018,1072,7903,2,0,7,Weliton,4,276,AdFemFID,0,NA,0,NA,0,NA
2018,1072,7678,2,0,6,Weliton,5,35,AdFemFID,0,NA,0,NA,0,NA
2019,1072,7586,1,0,5,Weliton,6,150,AdFemFID,0,NA,0,NA,0,NA
2019,1072,7728,2,0,7,Weliton,7,18,AdFemFID,0,NA,0,NA,0,NA
2017,1074,7957,2,0,6,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1074,7986,2,0,9,Weliton,2,1,AdFemFID,0,NA,0,NA,0,NA
2018,1074,8148,1,0,8,Weliton,3,90,AdFemFID,0,NA,0,NA,0,NA
2018,1074,8040,1,LPY,12,Weliton,4,169,AdFemFID,0,NA,0,NA,0,NA
2018,1074,7965,2,LPY,7,Weliton,5,40,AdFemFID,0,NA,0,NA,0,NA
2019,1074,7510,2,SA,15,Carolina,6,142,AdFemFID,0,NA,0,NA,0,NA
2019,1079,7540,1,0,6,Weliton,5,160,AdFemFID,0,NA,0,NA,0,NA
2019,1079,7400,2,0,6,Weliton,6,22,AdFemFID,0,NA,0,NA,0,NA
2019,1079,7301,2,0,11,Weliton,7,10,AdFemFID,0,NA,0,NA,0,NA
2017,1081,7993,1,LPY,7,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1081,8369,2,LPY,7,Weliton,2,46,AdFemFID,0,NA,0,NA,0,NA
2017,1081,8191,1,LPY,6,Weliton,3,3,AdFemFID,0,NA,0,NA,0,NA
2018,1081,8164,1,LPY,6,Weliton,4,272,AdFemFID,0,NA,0,NA,0,NA
2018,1081,8158,1,LPY,7,Weliton,5,19,AdFemFID,0,NA,0,NA,0,NA
2019,1081,8160,2,0,13,Carolina,6,154,AdFemFID,0,NA,0,NA,0,NA
2018,1087,8383,2,0,12,Weliton,3,268,AdFemFID,0,NA,0,NA,0,NA
2018,1087,8304,1,0,11,Weliton,4,28,AdFemFID,0,NA,0,NA,0,NA
2019,1087,8399,2,0,10,Weliton,5,167,AdFemFID,0,NA,0,NA,0,NA
2019,1087,8094,1,0,12,Weliton,6,4,AdFemFID,0,NA,0,NA,0,NA
2018,1090,7991,2,0,13,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1090,7979,3,0,5,Weliton,2,164,AdFemFID,0,NA,0,NA,0,NA
2018,1090,8091,1,0,7,Weliton,3,30,AdFemFID,0,NA,0,NA,0,NA
2018,1093,7959,1,0,7,Weliton,3,272,AdFemFID,0,NA,0,NA,0,NA
2018,1093,7856,1,0,9,Weliton,4,22,AdFemFID,0,NA,0,NA,0,NA
2019,1093,7746,1,0,5,Weliton,5,149,AdFemFID,0,NA,0,NA,0,NA
2019,1093,7874,1,0,3,Weliton,6,22,AdFemFID,0,NA,0,NA,0,NA
2018,1094,7431,1,0,9,Weliton,3,93,AdFemFID,0,NA,0,NA,0,NA
2018,1094,7330,1,0,8,Weliton,4,4,AdFemFID,0,NA,0,NA,0,NA
2018,1094,7282,2,0,7,Weliton,5,2,AdFemFID,0,NA,0,NA,0,NA
2018,1094,7443,1,0,10,Weliton,6,186,AdFemFID,0,NA,0,NA,0,NA
2018,1094,7569,1,0,7,Weliton,7,17,AdFemFID,0,NA,0,NA,0,NA
2019,1094,7417,2,0,2,Weliton,8,147,AdFemFID,0,NA,0,NA,0,NA
2019,1094,7437,4,0,2,Weliton,9,23,AdFemFID,0,NA,0,NA,0,NA
2019,1095,7993,2,0,14,Weliton,4,177,AdFemFID,0,NA,0,NA,0,NA
2019,1095,7869,2,0,4,Weliton,5,7,AdFemFID,0,NA,0,NA,0,NA
2019,1096,8405,2,0,12,Weliton,5,182,AdFemFID,0,NA,0,NA,0,NA
2019,1096,8297,2,0,14,Weliton,6,3,AdFemFID,0,NA,0,NA,0,NA
2017,1099,8301,1,LPY,13,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1099,8368,1,LPY,11,Weliton,2,0,AdFemFID,0,NA,0,NA,0,NA
2017,1099,8402,1,LPY,9,Weliton,3,1,AdFemFID,0,NA,0,NA,0,NA
2018,1099,8359,1,0,12,Weliton,4,265,AdFemFID,0,NA,0,NA,0,NA
2018,1099,8209,2,0,8,Weliton,5,25,AdFemFID,0,NA,0,NA,0,NA
2019,1099,8240,3,0,9,Carolina,6,178,AdFemFID,0,NA,0,NA,0,NA
2017,1101,8194,4,SA,8,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,1101,8298,2,0,4,Weliton,2,1,AdFemFID,0,NA,0,NA,0,NA
2018,1101,8034,1,0,15,Weliton,3,260,AdFemFID,0,NA,0,NA,0,NA
2018,1101,8090,1,0,2,Weliton,4,33,AdFemFID,0,NA,0,NA,0,NA
2019,1101,7998,3,0,7,Carolina,5,168,AdFemFID,0,NA,0,NA,0,NA
2019,1101,7564,1,0,10,Carolina,6,6,AdFemFID,0,NA,0,NA,0,NA
2018,1110,8027,1,0,18,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1110,8023,1,0,6,Weliton,2,35,AdFemFID,0,NA,0,NA,0,NA
2019,1110,7951,3,0,5,Carolina,3,150,AdFemFID,0,NA,0,NA,0,NA
2018,1116,8137,2,0,9,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1116,8363,1,0,11,Weliton,2,8,AdFemFID,0,NA,0,NA,0,NA
2019,1116,8111,7,0,1,Carolina,3,192,AdFemFID,0,NA,0,NA,0,NA
2019,1116,8089,1,0,2,Carolina,4,2,AdFemFID,0,NA,0,NA,0,NA
2018,1118,7962,1,0,5,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1118,7364,1,0,1,Weliton,2,28,AdFemFID,0,NA,0,NA,0,NA
2019,1118,7875,2,0,5,Weliton,3,151,AdFemFID,0,NA,0,NA,0,NA
2019,1118,7887,1,0,3,Weliton,4,18,AdFemFID,0,NA,0,NA,0,NA
2017,112,7866,1,0,10,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1135,8316,2,LPY,12,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1135,8181,2,LPY,5,Weliton,2,14,AdFemFID,0,NA,0,NA,0,NA
2018,1135,8261,2,0,7,Weliton,3,57,AdFemFID,0,NA,0,NA,0,NA
2018,1142,7815,1,LPY,4,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1142,7733,1,LPY,3,Weliton,2,8,AdFemFID,0,NA,0,NA,0,NA
2018,1142,7907,2,LPY,3,Weliton,3,46,AdFemFID,0,NA,0,NA,0,NA
2019,1142,7539,1,0,5,Carolina,4,102,AdFemFID,0,NA,0,NA,0,NA
2019,1142,7914,2,SA,3,Carolina,5,1,AdFemFID,0,NA,0,NA,0,NA
2018,1151,8381,1,LPY,6,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2019,1151,8177,1,0,6,Weliton,2,121,AdFemFID,0,NA,0,NA,0,NA
2018,1154,7927,2,0,6,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1154,7842,1,0,3,Weliton,2,10,AdFemFID,0,NA,0,NA,0,NA
2019,1154,7982,2,0,8,Carolina,3,105,AdFemFID,0,NA,0,NA,0,NA
2018,1156,7640,2,LPY,6,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2018,1156,7422,2,LPY,6,Weliton,2,6,AdFemFID,0,NA,0,NA,0,NA
2017,125,7890,2,LPY,6,Weliton,1,500,AdFemFID,0,NA,0,NA,0,NA
2017,125,7532,2,LPY,7,Weliton,2,11,AdFemFID,0,NA,0,NA,0,NA
2017,125,7878,2,LPY,3,Weliton,3,7,AdFemFID,0,NA,0,NA,0,NA
2018,125,7785,1,0,5,Weliton,4,196,AdFemFID,0,NA,0,NA,0,NA
2018,125,7953,1,0,3,Weliton,5,4,AdFemFID,0,NA,0,NA,0,NA
2018,125,7927,1,0,5,Weliton,6,173,AdFemFID,0,NA,0,NA,0,NA
2018,125,7849,2,0,2,Weliton,7,17,AdFemFID,0,NA,0,NA,0,NA
2019,125,7807,1,0,3,Carolina,8,177,AdFemFID,0,NA,0,NA,0,NA
